wavelength,counts
498.5,1.94E+04
499,1.95E+04
499.5,1.95E+04
500,1.95E+04
500.5,1.93E+04
501,1.92E+04
501.5,1.92E+04
502,1.92E+04
502.5,1.93E+04
503,1.93E+04
503.5,1.94E+04
504,1.96E+04
504.5,1.98E+04
505,2.00E+04
505.5,2.02E+04
506,2.03E+04
506.5,2.03E+04
507,2.03E+04
507.5,2.03E+04
508,2.03E+04
508.5,2.04E+04
509,2.05E+04
509.5,2.07E+04
510,2.08E+04
510.5,2.09E+04
511,2.10E+04
511.5,2.10E+04
512,2.09E+04
512.5,2.08E+04
513,2.07E+04
513.5,2.06E+04
514,2.06E+04
514.5,2.06E+04
515,2.04E+04
515.5,2.01E+04
516,1.97E+04
516.5,1.94E+04
517,1.93E+04
517.5,1.93E+04
518,1.95E+04
518.5,1.99E+04
519,2.02E+04
519.5,2.06E+04
520,2.09E+04
520.5,2.11E+04
521,2.12E+04
521.5,2.12E+04
522,2.12E+04
522.5,2.13E+04
523,2.14E+04
523.5,2.16E+04
524,2.16E+04
524.5,2.15E+04
525,2.13E+04
525.5,2.09E+04
526,2.07E+04
526.5,2.06E+04
527,2.07E+04
527.5,2.10E+04
528,2.15E+04
528.5,2.19E+04
529,2.21E+04
529.5,2.22E+04
530,2.20E+04
530.5,2.19E+04
531,2.17E+04
531.5,2.15E+04
532,2.13E+04
532.5,2.11E+04
533,2.11E+04
533.5,2.12E+04
534,2.14E+04
534.5,2.15E+04
535,2.16E+04
535.5,2.15E+04
536,2.14E+04
536.5,2.13E+04
537,2.12E+04
537.5,2.11E+04
538,2.10E+04
538.5,2.08E+04
539,2.06E+04
539.5,2.03E+04
540,2.01E+04
540.5,2.01E+04
541,2.01E+04
541.5,2.01E+04
542,2.03E+04
542.5,2.04E+04
543,2.05E+04
543.5,2.06E+04
544,2.06E+04
544.5,2.05E+04
545,2.05E+04
545.5,2.05E+04
546,2.05E+04
546.5,2.05E+04
547,2.06E+04
547.5,2.06E+04
548,2.07E+04
548.5,2.07E+04
549,2.08E+04
549.5,2.08E+04
550,2.08E+04
550.5,2.08E+04
551,2.09E+04
551.5,2.09E+04
552,2.09E+04
552.5,2.09E+04
553,2.09E+04
553.5,2.10E+04
554,2.10E+04
554.5,2.09E+04
555,2.08E+04
555.5,2.07E+04
556,2.05E+04
556.5,2.04E+04
557,2.02E+04
557.5,2.01E+04
558,1.99E+04
558.5,1.98E+04
559,1.98E+04
559.5,1.98E+04
560,1.98E+04
560.5,1.99E+04
561,2.00E+04
561.5,2.00E+04
562,2.00E+04
562.5,1.99E+04
563,1.98E+04
563.5,1.97E+04
564,1.96E+04
564.5,1.94E+04
565,1.93E+04
565.5,1.92E+04
566,1.91E+04
566.5,1.90E+04
567,1.89E+04
567.5,1.87E+04
568,1.85E+04
568.5,1.83E+04
569,1.82E+04
569.5,1.81E+04
570,1.81E+04
570.5,1.80E+04
571,1.81E+04
571.5,1.81E+04
572,1.82E+04
572.5,1.82E+04
573,1.82E+04
573.5,1.81E+04
574,1.80E+04
574.5,1.78E+04
575,1.77E+04
575.5,1.77E+04
576,1.76E+04
576.5,1.76E+04
577,1.75E+04
577.5,1.75E+04
578,1.75E+04
578.5,1.75E+04
579,1.76E+04
579.5,1.76E+04
580,1.76E+04
580.5,1.76E+04
581,1.77E+04
581.5,1.77E+04
582,1.77E+04
582.5,1.77E+04
583,1.77E+04
583.5,1.77E+04
584,1.76E+04
584.5,1.74E+04
585,1.72E+04
585.5,1.70E+04
586,1.67E+04
586.5,1.65E+04
587,1.60E+04
587.5,1.53E+04
588,1.47E+04
588.5,1.42E+04
589,1.40E+04
589.5,1.40E+04
590,1.42E+04
590.5,1.44E+04
591,1.45E+04
591.5,1.46E+04
592,1.47E+04
592.5,1.48E+04
593,1.48E+04
593.5,1.46E+04
594,1.45E+04
594.5,1.44E+04
595,1.45E+04
595.5,1.46E+04
596,1.47E+04
596.5,1.47E+04
597,1.47E+04
597.5,1.47E+04
598,1.48E+04
598.5,1.49E+04
599,1.50E+04
599.5,1.50E+04
600,1.50E+04
600.5,1.49E+04
601,1.49E+04
601.5,1.50E+04
602,1.51E+04
602.5,1.52E+04
603,1.53E+04
603.5,1.53E+04
604,1.53E+04
604.5,1.53E+04
605,1.52E+04
605.5,1.52E+04
606,1.51E+04
606.5,1.50E+04
607,1.49E+04
607.5,1.49E+04
608,1.49E+04
608.5,1.48E+04
609,1.47E+04
609.5,1.46E+04
610,1.46E+04
610.5,1.45E+04
611,1.45E+04
611.5,1.44E+04
612,1.43E+04
612.5,1.42E+04
613,1.42E+04
613.5,1.42E+04
614,1.42E+04
614.5,1.42E+04
615,1.41E+04
615.5,1.38E+04
616,1.37E+04
616.5,1.37E+04
617,1.38E+04
617.5,1.38E+04
618,1.39E+04
618.5,1.39E+04
619,1.38E+04
619.5,1.38E+04
620,1.38E+04
620.5,1.36E+04
621,1.35E+04
621.5,1.34E+04
622,1.33E+04
622.5,1.32E+04
623,1.31E+04
623.5,1.30E+04
624,1.29E+04
624.5,1.28E+04
625,1.27E+04
625.5,1.26E+04
626,1.24E+04
626.5,1.22E+04
627,1.20E+04
627.5,1.19E+04
628,1.18E+04
628.5,1.18E+04
629,1.18E+04
629.5,1.18E+04
630,1.17E+04
630.5,1.17E+04
631,1.16E+04
631.5,1.16E+04
632,1.17E+04
632.5,1.17E+04
633,1.17E+04
633.5,1.16E+04
634,1.16E+04
634.5,1.15E+04
635,1.14E+04
635.5,1.14E+04
636,1.13E+04
636.5,1.13E+04
637,1.13E+04
637.5,1.13E+04
638,1.13E+04
638.5,1.12E+04
639,1.11E+04
639.5,1.10E+04
640,1.09E+04
640.5,1.09E+04
641,1.08E+04
641.5,1.09E+04
642,1.08E+04
642.5,1.08E+04
643,1.07E+04
643.5,1.06E+04
644,1.05E+04
644.5,1.03E+04
645,1.01E+04
645.5,9.91E+03
646,9.71E+03
646.5,9.56E+03
647,9.47E+03
647.5,9.42E+03
648,9.43E+03
648.5,9.48E+03
649,9.57E+03
649.5,9.64E+03
650,9.66E+03
650.5,9.63E+03
651,9.60E+03
651.5,9.61E+03
652,9.64E+03
652.5,9.67E+03
653,9.63E+03
653.5,9.50E+03
654,9.30E+03
654.5,9.02E+03
655,8.77E+03
655.5,8.61E+03
656,8.61E+03
656.5,8.78E+03
657,9.02E+03
657.5,9.24E+03
658,9.40E+03
658.5,9.48E+03
659,9.56E+03
