wavelength,counts
1033.5,1.33E+03
1034,1.31E+03
1034.5,1.31E+03
1035,1.32E+03
1035.5,1.32E+03
1036,1.33E+03
1036.5,1.33E+03
1037,1.35E+03
1037.5,1.39E+03
1038,1.41E+03
1038.5,1.42E+03
1039,1.45E+03
1039.5,1.45E+03
1040,1.47E+03
1040.5,1.48E+03
1041,1.45E+03
1041.5,1.43E+03
1042,1.42E+03
1042.5,1.40E+03
1043,1.39E+03
1043.5,1.39E+03
1044,1.36E+03
1044.5,1.32E+03
1045,1.30E+03
1045.5,1.28E+03
1046,1.28E+03
1046.5,1.28E+03
1047,1.29E+03
1047.5,1.30E+03
1048,1.30E+03
1048.5,1.29E+03
1049,1.29E+03
1049.5,1.27E+03
1050,1.27E+03
1050.5,1.28E+03
1051,1.29E+03
1051.5,1.29E+03
1052,1.30E+03
1052.5,1.29E+03
1053,1.28E+03
1053.5,1.28E+03
1054,1.27E+03
1054.5,1.27E+03
1055,1.28E+03
1055.5,1.28E+03
1056,1.29E+03
1056.5,1.29E+03
1057,1.30E+03
1057.5,1.29E+03
1058,1.28E+03
1058.5,1.29E+03
1059,1.32E+03
1059.5,1.34E+03
1060,1.39E+03
1060.5,1.43E+03
1061,1.41E+03
1061.5,1.40E+03
1062,1.39E+03
1062.5,1.34E+03
1063,1.31E+03
1063.5,1.30E+03
1064,1.30E+03
1064.5,1.29E+03
1065,1.29E+03
1065.5,1.28E+03
1066,1.27E+03
1066.5,1.27E+03
1067,1.29E+03
1067.5,1.33E+03
1068,1.36E+03
1068.5,1.37E+03
1069,1.36E+03
1069.5,1.34E+03
1070,1.31E+03
1070.5,1.29E+03
1071,1.29E+03
1071.5,1.30E+03
1072,1.30E+03
1072.5,1.31E+03
1073,1.35E+03
1073.5,1.39E+03
1074,1.39E+03
1074.5,1.38E+03
1075,1.36E+03
1075.5,1.31E+03
1076,1.28E+03
1076.5,1.27E+03
1077,1.27E+03
1077.5,1.27E+03
1078,1.26E+03
1078.5,1.26E+03
1079,1.26E+03
1079.5,1.26E+03
1080,1.28E+03
1080.5,1.29E+03
1081,1.29E+03
1081.5,1.30E+03
1082,1.33E+03
1082.5,1.36E+03
1083,1.37E+03
1083.5,1.37E+03
1084,1.35E+03
1084.5,1.31E+03
1085,1.29E+03
1085.5,1.29E+03
1086,1.29E+03
1086.5,1.28E+03
1087,1.27E+03
1087.5,1.26E+03
1088,1.27E+03
1088.5,1.29E+03
1089,1.30E+03
1089.5,1.31E+03
1090,1.32E+03
1090.5,1.31E+03
1091,1.31E+03
1091.5,1.31E+03
1092,1.31E+03
1092.5,1.31E+03
1093,1.32E+03
1093.5,1.31E+03
1094,1.29E+03
1094.5,1.28E+03
1095,1.28E+03
1095.5,1.27E+03
1096,1.27E+03
1096.5,1.27E+03
1097,1.27E+03
1097.5,1.27E+03
1098,1.26E+03
1098.5,1.25E+03
1099,1.25E+03
1099.5,1.25E+03
1100,1.25E+03
1100.5,1.26E+03
1101,1.27E+03
1101.5,1.27E+03
1102,1.27E+03
1102.5,1.27E+03
1103,1.27E+03
1103.5,1.27E+03
1104,1.27E+03
1104.5,1.27E+03
1105,1.27E+03
1105.5,1.26E+03
1106,1.27E+03
1106.5,1.28E+03
1107,1.28E+03
1107.5,1.28E+03
1108,1.27E+03
1108.5,1.27E+03
1109,1.27E+03
1109.5,1.28E+03
1110,1.33E+03
1110.5,1.37E+03
1111,1.38E+03
1111.5,1.39E+03
1112,1.37E+03
1112.5,1.33E+03
1113,1.30E+03
1113.5,1.28E+03
1114,1.26E+03
1114.5,1.26E+03
1115,1.27E+03
1115.5,1.28E+03
1116,1.29E+03
1116.5,1.30E+03
1117,1.30E+03
1117.5,1.28E+03
1118,1.27E+03
1118.5,1.26E+03
1119,1.25E+03
1119.5,1.24E+03
1120,1.24E+03
1120.5,1.24E+03
1121,1.25E+03
1121.5,1.26E+03
1122,1.27E+03
1122.5,1.29E+03
1123,1.31E+03
1123.5,1.31E+03
1124,1.30E+03
1124.5,1.30E+03
1125,1.28E+03
1125.5,1.27E+03
1126,1.26E+03
1126.5,1.26E+03
1127,1.26E+03
1127.5,1.27E+03
1128,1.27E+03
1128.5,1.28E+03
1129,1.28E+03
1129.5,1.27E+03
1130,1.26E+03
1130.5,1.26E+03
1131,1.25E+03
1131.5,1.25E+03
1132,1.26E+03
1132.5,1.26E+03
1133,1.26E+03
1133.5,1.25E+03
1134,1.25E+03
1134.5,1.25E+03
1135,1.25E+03
1135.5,1.25E+03
1136,1.25E+03
1136.5,1.25E+03
1137,1.26E+03
1137.5,1.26E+03
1138,1.26E+03
1138.5,1.26E+03
1139,1.25E+03
1139.5,1.25E+03
1140,1.25E+03
1140.5,1.26E+03
1141,1.27E+03
1141.5,1.30E+03
1142,1.30E+03
1142.5,1.31E+03
1143,1.31E+03
1143.5,1.30E+03
1144,1.29E+03
1144.5,1.28E+03
1145,1.27E+03
1145.5,1.26E+03
1146,1.25E+03
1146.5,1.24E+03
1147,1.23E+03
1147.5,1.23E+03
1148,1.24E+03
1148.5,1.26E+03
1149,1.28E+03
1149.5,1.29E+03
1150,1.30E+03
1150.5,1.30E+03
1151,1.29E+03
1151.5,1.27E+03
1152,1.27E+03
1152.5,1.27E+03
1153,1.27E+03
1153.5,1.28E+03
1154,1.29E+03
1154.5,1.29E+03
1155,1.29E+03
1155.5,1.30E+03
1156,1.31E+03
1156.5,1.33E+03
1157,1.35E+03
1157.5,1.35E+03
1158,1.33E+03
1158.5,1.32E+03
1159,1.30E+03
1159.5,1.28E+03
1160,1.27E+03
1160.5,1.26E+03
1161,1.26E+03
1161.5,1.25E+03
1162,1.24E+03
1162.5,1.24E+03
1163,1.23E+03
1163.5,1.23E+03
1164,1.23E+03
1164.5,1.23E+03
1165,1.23E+03
1165.5,1.24E+03
1166,1.24E+03
1166.5,1.25E+03
1167,1.25E+03
1167.5,1.25E+03
1168,1.26E+03
1168.5,1.26E+03
1169,1.27E+03
1169.5,1.28E+03
1170,1.29E+03
1170.5,1.28E+03
1171,1.29E+03
1171.5,1.28E+03
1172,1.27E+03
1172.5,1.28E+03
1173,1.28E+03
1173.5,1.29E+03
1174,1.29E+03
1174.5,1.29E+03
1175,1.28E+03
1175.5,1.27E+03
1176,1.27E+03
1176.5,1.26E+03
1177,1.26E+03
1177.5,1.26E+03
1178,1.26E+03
1178.5,1.25E+03
1179,1.25E+03
1179.5,1.25E+03
1180,1.17E+03
